date,text
2016-04-18,张莹莹在2016南京浦口国际女子半程马拉松赛摘金
2016-04-18,我校双周音乐会迎来青年教师专场
2016-04-18,我校召开教学院长工作会议
2016-04-18,我校成为首批天津市中国特色社会主义理论体系研究中心基地
2016-04-15,我校召开2016年政府采购管理工作会议
2016-04-15,莫雷教授做客我校本学期首场求是讲坛
2016-04-15,我校召开学风建设工作表彰暨加强课堂纪律专项工作推动会
2016-04-15,我校召开研究生导师思想政治教育工作专题会
2016-04-13,市委统战部来校调研
2016-04-13,我校8名教师获国家公派高研高访（博士后）资助
2016-04-12,第二届全国心理学专业《实验心理学》任课教师培训班在我校开班
2016-04-08,我校学生赵福建勇夺2016年全国竞走大奖赛冠军
2016-04-08,我校召开2016年本科教学工作会议
2016-04-08,教育科学学院第四届“新视野”学术文化节开幕
2016-04-07,我校召开首届赴台研究生交流总结暨2016年赴台交流工作说明会
2016-04-05,我校教师陈娜获霍英东教育基金会第十五届高校青年教师奖
2016-04-05,我校史瑞杰教授领衔获批中国特色社会主义理论体系研究中心重大项目
2016-06-02,我校首届“师大圆梦人”评选活动圆满落幕
2016-06-02,四“法宝”铸就我校化学学科品牌
2016-06-02,校党委中心组开展“两学一做”学习教育第一专题学习讨论
2016-06-01,全校各级党组织积极部署开展“两学一做”学习教育
2016-06-01,我校召开积极推进部校共建工作上水平座谈会
2016-06-01,我校召开“互联网+”大学生创新创业大赛推动会
2016-06-01,我校召开留学生公寓项目方案设计预征集会
2016-06-01,“促进教育均衡发展，天津师范大学服务基础教育项目”结项评审验收会举行
2016-05-30,我校召开国有资产清查工作动员部署会
2016-05-30,天津师范大学第六届教职工代表大会暨第十次工会会员代表大会胜利闭幕
2016-05-30,我校在“2015年度复印报刊资料转载指数排名”中喜获佳绩
2016-05-30,我校召开教学核心区域景观绿化提升项目方案设计预征集会
2016-05-30,陈小明院士来我校讲学
2016-05-30,双周音乐会迎来天狮合唱团成立15周年纪念专场
2016-05-27,我校在天津市5.25学生心理健康月中取得优异成绩
2016-05-26,天津师范大学第六届教职工代表大会暨第十次工会会员代表大会开幕
2016-05-26,天津师范大学第六届教职工代表大会暨第十次工会会员代表大会召开预备会议
2016-05-26,我校获批2016年天津市专业技术人员继续教育国家级高级研修项目
2016-05-25,高玉葆校长出席全国政协双周协商座谈会
2016-05-25,“海外华文媒体与天津新闻界合作交流圆桌会”在我校举行
2016-05-25,天津市2016年“三支一扶”招募考试在我校举行
2016-05-25,心理学博士后流动站李卉博士获2016年度“博士后国际交流计划派出项目”资助
2016-05-23,校党委中心组（扩大）集体学习《中国共产党纪律处分条例》
2016-05-20,校党委书记杨庆山讲“两学一做”学习教育专题党课
2016-05-20,我校教师在全国高校电工电子基础课程实验教学案例设计竞赛中斩获佳绩
2016-05-20,天津市高校2016年大学生校园心理剧大赛决赛在我校举行
2016-05-19,李喜飞教授团队在新能源电池领域研究取得突破性进展
2016-05-16,校党委中心组（扩大）集体学习《中国共产党章程》
2016-05-16,双周音乐会迎来音乐与影视学院外籍教师专场
2016-05-13,校党委副书记宁月茹带队慰问我校驻蓟县结对帮扶困难村工作组
2016-05-13,我校召开处级领导干部廉政谈话会议
2016-05-13,我校统一战线骨干培训班开班
2016-05-12,我校学生女排、男排在天津市大学生排球比赛中分获冠亚军
2016-05-11,余金成教授做客我校求是讲坛
2016-05-10,天津师范大学2016年校园文化精品育人项目评审会举行
2016-05-09,我校学生在第四届全国高等师范院校历史教育专业本科生教学技能大赛中获佳绩
2016-05-09,佟德志入选教育部“长江学者奖励计划”青年学者
2016-05-06,我校召开“两学一做”学习教育部署会
2016-05-06,王贺胜来校调研“部校共建新闻传播学院”工作
2016-05-06,中共天津师范大学纪律检查委员会第五次全体会议召开
2016-05-03,我校承办的英国赫尔大学孔子学院合唱团获第二届“唱响英伦”大赛银奖
2016-05-03,法学院举行“新友励学”奖学金捐赠仪式
2016-04-29,我校举行第四十四届田径运动会
2016-04-29,校领导会见我校“天津市工人先锋号”和“天津市五一劳动奖章”获奖集体和个人
2016-04-29,李臣之教授受聘我校博士生合作导师
2016-04-26,天津师范大学第十次学生代表大会隆重召开
2016-04-25,天津市地理学会第七次会员代表大会在我校召开
2016-04-25,孙宪忠教授受聘我校兼职教授
2016-06-28,我校第十三届青年教师教学基本功竞赛圆满结束
2016-06-27,高端人才工作推动会召开
2016-06-27,我校召开“两学一做”学习教育阶段总结和推动会
2016-06-24,市委副书记王东峰来校调研指导工作
2016-06-23,我校举办中心组学习报告会 王辅成讲“两学一做”学习教育专题党课
2016-06-23,高玉葆校长出席第五批全国古籍重点保护单位颁牌仪式
2016-06-22,2016年“学风杯”校园辩论赛决赛举行
2016-06-21,校党委中心组开展集体学习
2016-06-17,教育科学学院第四届“新视野”学术文化节闭幕
2016-06-15,我校举行2016年本科生毕业典礼暨学位授予仪式
2016-06-15,副市长曹小红来校检查高考阅卷工作
2016-06-14,我校举行2016年本科生首场毕业典礼暨学位授予仪式
2016-06-14,我校在天津市教育系统“两学一做”学习教育阶段总结和推动会上做交流发言
2016-06-13,我校举行2016届研究生毕业典礼暨学位授予仪式
2016-06-13,我校召开学生党建工作研讨暨“两学一做”学习教育第一专题总结交流会
2016-06-13,我校参与成立的京津冀教育协同发展研究院举行成立仪式
2016-06-13,市委教育工委副书记杨清海带队检查我校宣传思想工作
2016-06-08,用习近平总书记重要讲话精神统一思想和行动  担负起加快构建中国特色哲学社会科学的历史使命
2016-06-06,我校举办第13期中青年骨干教师培训班总结交流会暨第14期培训班开班典礼
2016-06-06,我校召开学习贯彻习总书记“在哲学社会科学工作座谈会上的讲话”专题会议
2016-06-03,校领导分别深入所在支部、分管单位讲“两学一做”专题党课
2016-06-03,我校召开食品安全大检查、大整改工作部署会
2016-06-03,2015－2016学年度新疆籍少数民族学生学习交流会召开
2016-06-02,我校第七届IT文化节闭幕式暨颁奖典礼举行
2016-06-02,市委巡视六组对天津师范大学巡视“回头看”工作动员会召开
2016-06-02,我校首届“师大圆梦人”评选活动圆满落幕
2016-06-02,四“法宝”铸就我校化学学科品牌
